cancer,wavenumber,shap,abs_shap
PRC,1059.3,-0.005804411717408483,0.005804411717408483
PRC,1061.23,0.01768514650603048,0.01768514650603048
PRC,1063.16,-0.014528010664735497,0.014528010664735497
PRC,1065.09,0.028393968573895523,0.028393968573895523
PRC,1067.02,0.013541912543970818,0.013541912543970818
PRC,1068.94,-0.008928817311575594,0.008928817311575594
PRC,1070.87,-0.003460872833466163,0.003460872833466163
PRC,1072.8,0.05217393533783071,0.05217393533783071
PRC,1074.73,0.016576026742477365,0.016576026742477365
PRC,1076.66,-0.04119501479971267,0.04119501479971267
PRC,1078.58,-0.01834811117322942,0.01834811117322942
PRC,1080.51,-0.01785501690391817,0.01785501690391817
PRC,1082.44,0.03451806481868638,0.03451806481868638
PRC,1084.37,0.034222909777461605,0.034222909777461605
PRC,1086.3,0.00373760320649575,0.00373760320649575
PRC,1088.22,0.05631338728609088,0.05631338728609088
PRC,1090.15,-0.018837466003616795,0.018837466003616795
PRC,1092.08,-0.019004412584130718,0.019004412584130718
PRC,1094.01,0.00185991168031312,0.00185991168031312
PRC,1095.94,0.00024736061352526436,0.00024736061352526436
PRC,1097.86,0.0064961777517955465,0.0064961777517955465
PRC,1099.79,-0.007393697290182322,0.007393697290182322
PRC,1101.72,0.0048196052714322745,0.0048196052714322745
PRC,1103.65,0.0003005648935771219,0.0003005648935771219
PRC,1105.57,-0.0060487057662966725,0.0060487057662966725
PRC,1107.5,0.011090112421838154,0.011090112421838154
PRC,1109.43,0.013956800953633905,0.013956800953633905
PRC,1111.36,-0.010880335319959281,0.010880335319959281
PRC,1113.29,-0.004314078637137653,0.004314078637137653
PRC,1115.21,-0.0005666474856470922,0.0005666474856470922
PRC,1117.14,0.008955924772286331,0.008955924772286331
PRC,1119.07,0.0010401723286342904,0.0010401723286342904
PRC,1121.0,-0.0013747239135087441,0.0013747239135087441
PRC,1122.93,-0.00010346573131899391,0.00010346573131899391
PRC,1124.85,0.002285091016407463,0.002285091016407463
PRC,1126.78,-3.6844529249360654e-05,3.6844529249360654e-05
PRC,1128.71,-0.0053081540763781025,0.0053081540763781025
PRC,1130.64,-0.0015777440521927443,0.0015777440521927443
PRC,1132.57,-0.008004355448493572,0.008004355448493572
PRC,1134.49,0.004610954803957096,0.004610954803957096
PRC,1136.42,0.004073824616570676,0.004073824616570676
PRC,1138.35,0.006999364202621417,0.006999364202621417
PRC,1140.28,0.014705174559610313,0.014705174559610313
PRC,1142.2,-0.011473373679149173,0.011473373679149173
PRC,1144.13,0.041165859301659974,0.041165859301659974
PRC,1146.06,0.10347601404436772,0.10347601404436772
PRC,1147.99,0.03545613364208067,0.03545613364208067
PRC,1149.92,-0.06896071567856486,0.06896071567856486
PRC,1151.84,-0.10433290048397707,0.10433290048397707
PRC,1153.77,-0.010098303289985263,0.010098303289985263
PRC,1155.7,0.08815493690209175,0.08815493690209175
PRC,1157.63,0.05580249895445789,0.05580249895445789
PRC,1159.56,-0.03874091690755501,0.03874091690755501
PRC,1161.48,-0.0464865613101692,0.0464865613101692
PRC,1163.41,-0.029824013356368438,0.029824013356368438
PRC,1165.34,0.007292264935148534,0.007292264935148534
PRC,1167.27,0.0061792553182564965,0.0061792553182564965
PRC,1169.2,0.007988482560422332,0.007988482560422332
PRC,1171.12,-6.5749925885693e-05,6.5749925885693e-05
PRC,1173.05,-0.007193384001118005,0.007193384001118005
PRC,1174.98,0.011307472694093502,0.011307472694093502
PRC,1176.91,-0.025003680416622598,0.025003680416622598
PRC,1178.83,-0.04479296331223789,0.04479296331223789
PRC,1180.76,0.00901299987034698,0.00901299987034698
PRC,1182.69,0.020551583567232707,0.020551583567232707
PRC,1184.62,0.014085840819151945,0.014085840819151945
PRC,1186.55,-0.08330164423338561,0.08330164423338561
PRC,1188.47,-0.035261930946278934,0.035261930946278934
PRC,1190.4,0.07003549883427532,0.07003549883427532
